Question Title,Section,Instructor,Training(Chapter) ,Application,Type,Average Time on Task(HH MM SS),No. of Times Question Presented,% Correct(Guided / Unguided),Correct(Unguided),Correct(Guided),Skipped, 
"	AC Step 7.2.2: Add a Calculated Control to a Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:57","	146","	96.58%","	3","	138","	2","	"
"	AC Step 7.2.2: Add a Calculated Control to a Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:22","	152","	97.37%","	5","	143","	1","	"
"	AC Step 7.2.2: Add a Calculated Control to a Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:35","	209","	97.13%","	7","	196","	2","	"
"	AC Step 7.2.2: Add a Calculated Control to a Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:06:45","	11","	100%","	0","	11","	0","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:05:04","	37","	94.59%","	10","	25","	0","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:06:36","	25","	96%","	3","	21","	0","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:49","	219","	97.72%","	29","	185","	1","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:43","	146","	94.52%","	15","	123","	2","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:18","	152","	96.71%","	10","	137","	1","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:43","	209","	96.17%","	20","	181","	3","	"
"	AC Step 7.2.3: Add a Chart Control to a Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:06:12","	11","	90.91%","	2","	8","	0","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:05:42","	37","	94.59%","	2","	33","	1","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:08:00","	25","	100%","	1","	24","	0","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:13","	219","	97.72%","	9","	205","	2","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:40","	146","	94.52%","	0","	138","	4","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:11","	152","	98.68%","	2","	148","	1","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:22","	209","	97.13%","	4","	199","	4","	"
"	AC Step 7.2.4: Use Sections and Add an Image","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:08:00","	11","	100%","	2","	9","	0","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:06:25","	37","	91.89%","	1","	33","	1","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:08:55","	25","	96%","	1","	23","	0","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:58","	219","	94.98%","	7","	201","	2","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:08:27","	146","	88.36%","	0","	129","	4","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:07:15","	152","	94.08%","	1","	142","	1","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:08:15","	209","	91.39%","	0","	191","	5","	"
"	AC Step 7.2.5: Add a Group Header to a Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 7: Simulation Training","	Access 2019","	SIM5 Question","	00:08:20","	11","	100%","	0","	11","	0","	"
